id,code,name,asset_type,utility_type,lifecycle_status,verification_status,zone_id,map_x,map_y,attachedMetersCount,outboundConnectionsCount,inboundConnectionsCount
c89d0a40-9fbf-40da-91a9-337efc341922,ASSET-CTX-002d98,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
6a4f70b2-75df-4f3b-bc8b-c2fc7130217e,ASSET-CTX-62855b,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
db6eab79-0f51-4663-a132-d73f4c7899b5,ASSET-CTX-986ce0,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
e616b07d-d839-4f23-9f19-b7ad7ce9611d,ASSET-CTX-a04c0b,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
d4a875c2-7c30-4445-915d-6be2e9421911,ASSET-CTX-bcc7aa,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
6e665d64-ed36-4f77-8dd8-dfeea3012abd,ASSET-CTX-d7de11,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
92d77f65-7567-4765-8b93-e4316d8faf95,ASSET-CTX-f9d051,Trạm Trắc Địa Tân Thuận,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,0.35,0.45,0,0,1
83c04b86-8880-4a46-ba76-1729211bc1a4,ASSET-NET-UV-49a216,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
c26d1bb3-5bf7-460f-93f4-4ec26cf738a7,ASSET-NET-UV-55f403,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
07789d63-5a25-4890-82e6-9254745b251f,ASSET-NET-UV-62c75d,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
af6aebfb-5550-4869-a81b-6863418edd03,ASSET-NET-UV-63ae0e,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
9c6ab0ba-785d-48b6-b324-900c64d2e531,ASSET-NET-UV-9aabfb,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
5973adaf-dbd8-445d-9dfc-066858b4f2b3,ASSET-NET-UV-f02cbc,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
5237d5ed-ad40-4235-9e44-98f709e7adbd,ASSET-NET-UV-fa6ee2,Trạm Biến Áp Chưa Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,UNVERIFIED,,,,0,1,0
8a9882f0-aefc-40ed-b4c1-2dea34cadf02,ASSET-NET-V-04d295,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
52550df9-8166-4e97-8977-33b231387f35,ASSET-NET-V-0635d9,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
697de013-2e05-45e4-b70b-c34c2f12863d,ASSET-NET-V-172821,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
959c24dd-8bdc-4b05-a10f-f0224eed19db,ASSET-NET-V-2c58fb,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
1f36093b-012d-448e-b7de-7a8101ed2783,ASSET-NET-V-7a5b89,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
63ccca8e-9d45-43ab-a714-ae24c6bd1a4d,ASSET-NET-V-8b330b,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
ddd9cfb0-6588-42e1-a8f1-0bdbbc3ec3dc,ASSET-NET-V-f87109,Trạm Biến Áp Đã Xác Minh,SUBSTATION,UNKNOWN,ACTIVE,VERIFIED,,,,0,1,0
bfa11817-6a6b-40ba-8258-ae2abcbc806d,ASSET-NET-V2-062261,Tủ Phân Phối Đã Xác Minh,SWITCHBOARD,UNKNOWN,ACTIVE,VERIFIED,,,,0,0,2
